url_path,views_total,views_unique
/ChameleonTartu/competitive_programming,13,12
/ChameleonTartu/competitive_programming/tree/master/eOlymp/DepthFirstSearch,9,8
/ChameleonTartu/competitive_programming/tree/master/Codeforces,3,2
/ChameleonTartu/competitive_programming/tree/master/Timus,2,2
/ChameleonTartu/competitive_programming/tree/master/Timus/C%2B%2B,2,2
/ChameleonTartu/competitive_programming/blob/master/Codeforces/112A.cpp,1,1
/ChameleonTartu/competitive_programming/tree/master/HackerRank,1,1
/ChameleonTartu/competitive_programming/tree/master/HackerRank/Java,1,1
/ChameleonTartu/competitive_programming/tree/master/ProjectEuler,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus/Java,1,1
