url_path,views_total,views_unique
/greenbird/piri-web,27,14
/greenbird/piri-web/tree/master/piri_web,5,3
/greenbird/piri-web/tree/master/docs,4,2
/greenbird/piri-web/blob/master/docs/changelog.md,2,2
/greenbird/piri-web/blob/master/docs/index.md,2,2
/greenbird/piri-web/blob/master/piri_web/app.py,2,2
/greenbird/piri-web/blob/master/piri_web/__init__.py,2,2
/greenbird/piri-web/blob/master/CHANGELOG.md,1,1
/greenbird/piri-web/blob/master/docs/contributing.md,1,1
/greenbird/piri-web/blob/master/README.md,1,1
