url_path,views_total,views_unique
/ChameleonTartu/amazon-mws-feeds-maven/actions,99,2
/ChameleonTartu/amazon-mws-feeds-maven,49,4
/ChameleonTartu/amazon-mws-feeds-maven/actions/workflows/windows.yml,36,1
/ChameleonTartu/amazon-mws-feeds-maven/actions/workflows/unix.yml,18,1
/ChameleonTartu/amazon-mws-feeds-maven/pulls,17,1
/ChameleonTartu/amazon-mws-feeds-maven/tree/master/.github/workflows,14,2
/ChameleonTartu/amazon-mws-feeds-maven/actions/workflows/build.yml,14,1
/ChameleonTartu/amazon-mws-feeds-maven/blob/master/pom.xml,11,2
/ChameleonTartu/amazon-mws-feeds-maven/actions/runs/1654960126,9,1
/ChameleonTartu/amazon-mws-feeds-maven/actions/runs/1655019049,8,1
