url_path,views_total,views_unique
/greenbird/piri,41,22
/greenbird/piri/tree/master/piri,11,4
/greenbird/piri/blob/de8ed240492d836305c94decbede3933ea982db0/piri/mapper.py,7,1
/greenbird/piri/blob/master/piri/mapper.py,5,2
/greenbird/piri/blob/master/piri/process.py,5,1
/greenbird/piri/tree/master/docs,4,3
/greenbird/piri/blob/de8ed240492d836305c94decbede3933ea982db0/piri/handlers.py,3,1
/greenbird/piri/blob/de8ed240492d836305c94decbede3933ea982db0/piri/collection_handlers.py,1,1
/greenbird/piri/blob/master/CONTRIBUTING.md,1,1
/greenbird/piri/blob/master/docs/index.md,1,1
